Revenue,Expenses,Customers,Employees,Growth_Rate,Next_Month_Revenue
50000,30000,100,10,5.2,52500
55000,32000,110,11,6.1,58000
60000,35000,120,12,7.5,64500
65000,37000,130,13,8.2,70500
70000,40000,140,14,9.1,77000
75000,42000,150,15,10.5,82500
80000,45000,160,16,11.2,89000
85000,47000,170,17,12.8,96000
90000,50000,180,18,13.5,102000
95000,52000,190,19,14.2,109000
100000,55000,200,20,15.0,115000
105000,57000,210,21,15.8,121500
110000,60000,220,22,16.5,128000
115000,62000,230,23,17.2,135000
120000,65000,240,24,18.0,142000
125000,67000,250,25,18.7,148500
130000,70000,260,26,19.5,155500
135000,72000,270,27,20.2,162000
140000,75000,280,28,21.0,169500
145000,77000,290,29,21.8,177000
150000,80000,300,30,22.5,184000
155000,82000,310,31,23.2,191500
160000,85000,320,32,24.0,199000
165000,87000,330,33,24.7,206500
170000,90000,340,34,25.5,214500
175000,92000,350,35,26.2,222000
180000,95000,360,36,27.0,230000
185000,97000,370,37,27.8,238000
190000,100000,380,38,28.5,246500
195000,102000,390,39,29.2,255000
200000,105000,400,40,30.0,263500
205000,107000,410,41,30.7,272000
210000,110000,420,42,31.5,281000
215000,112000,430,43,32.2,290000
220000,115000,440,44,33.0,299500
225000,117000,450,45,33.8,309000
230000,120000,460,46,34.5,318500
235000,122000,470,47,35.2,328000
240000,125000,480,48,36.0,338000
245000,127000,490,49,36.8,348000
250000,130000,500,50,37.5,358500
255000,132000,510,51,38.2,369000
260000,135000,520,52,39.0,380000
265000,137000,530,53,39.7,391000
270000,140000,540,54,40.5,402500
275000,142000,550,55,41.2,414000
280000,145000,560,56,42.0,426000
285000,147000,570,57,42.8,438000
290000,150000,580,58,43.5,450500
295000,152000,590,59,44.2,463000
300000,155000,600,60,45.0,476000
